model,model_paper,defense,defense_paper,metric,suite,value_pct,value_raw
llama-3.3-70b,Llama 3.3 70B,piguard_detector,PIGuard,benign_utility,github,0.0,0.00
llama-3.3-70b,Llama 3.3 70B,piguard_detector,PIGuard,benign_utility,dailylife,10.0,10.00
qwen3-coder,Qwen3-Coder,piguard_detector,PIGuard,benign_utility,overall,6.67,6.67
qwen3-coder,Qwen3-Coder,piguard_detector,PIGuard,benign_utility,shopping,0.0,0.00
qwen3-coder,Qwen3-Coder,piguard_detector,PIGuard,benign_utility,github,5.0,5.00
qwen3-coder,Qwen3-Coder,piguard_detector,PIGuard,benign_utility,dailylife,15.0,15.00
kimi-k2.5,Kimi-K2.5,piguard_detector,PIGuard,benign_utility,overall,8.33,8.33
kimi-k2.5,Kimi-K2.5,piguard_detector,PIGuard,benign_utility,shopping,5.0,5.00
kimi-k2.5,Kimi-K2.5,piguard_detector,PIGuard,benign_utility,github,10.0,10.00
kimi-k2.5,Kimi-K2.5,piguard_detector,PIGuard,benign_utility,dailylife,10.0,10.00
gpt-4o-mini,GPT-4o mini,prompt_guard_2_detector,PromptGuard2,benign_utility,overall,30.0,30.00
gpt-4o-mini,GPT-4o mini,prompt_guard_2_detector,PromptGuard2,benign_utility,shopping,30.0,30.00
gpt-4o-mini,GPT-4o mini,prompt_guard_2_detector,PromptGuard2,benign_utility,github,20.0,20.00
gpt-4o-mini,GPT-4o mini,prompt_guard_2_detector,PromptGuard2,benign_utility,dailylife,40.0,40.00
gpt-4o,GPT-4o,prompt_guard_2_detector,PromptGuard2,benign_utility,overall,60.0,60.00
gpt-4o,GPT-4o,prompt_guard_2_detector,PromptGuard2,benign_utility,shopping,50.0,50.00
gpt-4o,GPT-4o,prompt_guard_2_detector,PromptGuard2,benign_utility,github,70.0,70.00
gpt-4o,GPT-4o,prompt_guard_2_detector,PromptGuard2,benign_utility,dailylife,60.0,60.00
gpt-5.1,GPT-5.1,prompt_guard_2_detector,PromptGuard2,benign_utility,overall,55.0,55.00
gpt-5.1,GPT-5.1,prompt_guard_2_detector,PromptGuard2,benign_utility,shopping,30.0,30.00
gpt-5.1,GPT-5.1,prompt_guard_2_detector,PromptGuard2,benign_utility,github,70.0,70.00
gpt-5.1,GPT-5.1,prompt_guard_2_detector,PromptGuard2,benign_utility,dailylife,65.0,65.00
gpt-5-mini,GPT-5-mini,prompt_guard_2_detector,PromptGuard2,benign_utility,overall,65.0,65.00
gpt-5-mini,GPT-5-mini,prompt_guard_2_detector,PromptGuard2,benign_utility,shopping,40.0,40.00
gpt-5-mini,GPT-5-mini,prompt_guard_2_detector,PromptGuard2,benign_utility,github,75.0,75.00
gpt-5-mini,GPT-5-mini,prompt_guard_2_detector,PromptGuard2,benign_utility,dailylife,80.0,80.00
gemini-2.5-pro,Gemini-2.5 Pro,prompt_guard_2_detector,PromptGuard2,benign_utility,overall,58.33,58.33
gemini-2.5-pro,Gemini-2.5 Pro,prompt_guard_2_detector,PromptGuard2,benign_utility,shopping,45.0,45.00
gemini-2.5-pro,Gemini-2.5 Pro,prompt_guard_2_detector,PromptGuard2,benign_utility,github,75.0,75.00
gemini-2.5-pro,Gemini-2.5 Pro,prompt_guard_2_detector,PromptGuard2,benign_utility,dailylife,55.0,55.00
